"Abteilung","Suchbegriff","Suchhäufigkeit","ASIN","Nr. 1 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 2 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","ASIN","Nr. 3 der geklickten Titel","Klickfreigabe","Umwandlungs-Anteil","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone se hülle","99.97","B01D90RB1S","mumbi UltraSlim Hülle für iPhone SE 5 5S  Schutzhülle transparent (Ultra Slim - 0.55 mm)","49.72","15.26","B00PHV9TOK","mumbi TPU Silikon Schutzhülle iPhone SE 5S 5 Hülle in schwarz","38.85","5.77","B00PHV6C40","mumbi DUAL TPU Hardcase Hülle iPhone SE 5 5S Schutzhülle (harte Rückseite) schwarz","1.02","9.54","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lego star wars","99.97","B01CCT2PCM","LEGO Star Wars 75153 - AT-ST™ Walker","5.45","3.23","B00SDTTH5E","LEGO Star Wars 75105 - Millennium Falcon","4.96","1.94","B01CCT2PN6","LEGO Star Wars 75156 - Krennics Imperial Shuttle","4.81","2.94","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","samsung galaxy s6 hülle","99.97","B00T5WCJN0","mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Schutzhülle (Slim - 1.2 mm)","47.27","6.42","B00T5WSNBC","mumbi Schutzhülle Samsung Galaxy S6 / S6 Duos Hülle transparent weiss (Slim - 1.2 mm)","46.53","11.49","B00T5XVVBA","mumbi Tasche im Bookstyle für Samsung Galaxy S6 / S6 Duos Tasche","0.61","3.63","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tiptoi","99.97","B00V8KFAHY","Ravensburger 00700 - tiptoi Stift mit Player","7.36","0.82","B00V8K81AM","Ravensburger 00507 - tiptoi Starter-Set mit Stift und Buch Wieso? Weshalb? Warum? Entdecke den Bauernhof","6.85","0.45","B00V8K83A0","Ravensburger 00508 - tiptoi Starter-Set mit Stift und Buch Bilderlexikon Tiere","6.76","0.55","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender erwachsene","99.96","3738653368","Wunder kommen leise: Adventskalender für Erwachsene","7.67","2.91","3869136901","Adventskalender Apfel, Zimt und Todeshauch 2016","5.64","2.89","B01KXUYAHU","Ursus 17840002 Adventskalenderset Frozen","3.65","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender frauen","99.96","B01BYDJGVA","Accentra Wellness und Beauty Adventskalender 2016, 1er Pack (1 x 24 Stück)","13.15","6.61","B00VEH05HQ","Shopping Queen Nail Adventskalender 2016, 1er Pack (1 x 24 Stück)","7.19","2.44","3742300954","Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","5.8","1.01","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fire tv stick","99.96","B00KAKPZYG","Fire TV Stick","77.31","2.09","B010EGFSSS","Fire TV Stick mit Sprachfernbedienung","8.62","33.71","B00UH2K93O","Amazon Fire TV mit 4K Ultra HD","7.08","5.52","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","harry potter","99.96","3551559007","Harry Potter: Harry Potter und das verwunschene Kind. Teil eins und zwei (Special Rehearsal Edition Script)","31.96","7.12","B01K1EHAC0","Harry Potter - The Complete Collection [8 DVDs]","17.05","4.62","3551354014","Harry Potter und der Stein der Weisen","4.77","2.81","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kindle paperwhite","99.96","B00QJDO0QC","Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz) - mit Spezialangeboten","55.58","3.52","B017DOUW76","Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Weiß) - mit Spezialangeboten","15.55","3.05","B00QJDU3KY","Kindle Paperwhite eReader, 15 cm (6 Zoll) hochauflösendes Display (300 ppi) mit integrierter Beleuchtung, WLAN (Schwarz)","6.27","2.23","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lg g4 hülle","99.96","B00TQNXDCY","mumbi Schutzhülle LG G4 Hülle","23.66","16.58","B00TQO0U2E","mumbi Schutzhülle LG G4 Hülle transparent weiss","23.39","10.47","B00TQNXKOA","mumbi Schutzhülle LG G4 Hülle transparent schwarz","10.78","4.71","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","philips hue","99.96","B016151IRQ","Philips Hue LED Lampe E27 Starter Set inklusive Bridge, 2. Generation, 3-er Set, dimmbar, 16 Mio Farben, app-gesteuert","16.75","0.36","B015LZ0PC6","Philips Hue LightStrip+ 16 Mio Farben (Basis Set ohne Bridge), EEK A, 2m, flexibel erweiterbar, ultrahell max 1600 Lumen","8.7","0.19","B009567QOI","Philips Living Colors Iris, EEK A, Energiesparende LED-Technologie mit 10 Watt, 16 Millionen Farben, mit Fernbedienung, klar 7099960PH","6.1","2.81","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","xbox one s","99.96","B01KAGPBB6","Xbox One S 500GB Konsole - FIFA 17 Bundle","31.61","2.58","B01KZYZMGC","Xbox One S 1 TB Konsole - Battlefield 1 Special Edition Bundle","13.9","10.27","B01H0NKK2W","Xbox One S 2TB Konsole mit 4K Blu-ray Player","8.69","28.63","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone 6 hülle","99.95","B00OZLO790","mumbi Schutzhülle iPhone 6 6s Hülle","41.42","7.97","B00PK7U52Q","mumbi Schutzhülle iPhone 6 6s Hülle transparent weiss","31.27","8.42","B01FXUUHUY","mumbi UltraSlim Hülle für iPhone 6 6s Schutzhülle transparent (Ultra Slim - 0.55 mm)","5.06","7.2","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kaffeemaschine","99.95","B000ALVUM6","Philips HD7546/20 Gaia Filter-Kaffeemaschine mit Thermo-Kanne, schwarz/metall","16.23","4.34","B00JM0BYDQ","Melitta 1010-02 bk Easy Kaffeefiltermaschine -Glaskanne -Tropfstopp -Schwenkfilter schwarz","8.29","5.93","B005FQJUI2","Melitta 100801 Optima Timer Kaffeefiltermaschine - schwarz/Edelstahl","7.43","2.76","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","pokemon","99.95","B01CCNANYU","Pokémon Mond - [3DS]","35.18","4.41","B01CCNASK4","Pokémon Sonne - [3DS]","28.64","4.52","B01IH5NQLO","Pokémon Mond + Steelbook","5.51","1.55","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","ps4 pro","99.95","B01LQF9UKS","PlayStation 4 Pro - Konsole (1TB)","81.55","41.22","B00ULWWFIC","PlayStation VR - [PlayStation 4]","8.97","4.3","B01N07E4FP","","3.76","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","wetterstation","99.95","B001GOPRC0","Wetterstation WS 9140-IT mit Funkuhr und Innen- und Außentemperaturanzeige","14.45","2.56","B011BSK1DK","TFA Dostmann satellitengestützte Wetterstation HELIOS COLOR Funk-Wetterstation, mehrfarbig","5.59","2.5","B0170A47DI","Bresser Wetterstation Wetter Center 5 - in - 1, schwarz","5.53","1.05","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender mädchen","99.94","B01BESF5O2","Nici 39169 - Adventskalender mit Ayumi Kosmetik befüllt, bunt","7.02","7.77","B01CZMWE7C","Maro Toys 60700 - Adventskalender Plötzlich Top Model, bunt","6.54","7.14","B01CZMWKCG","Craze 53998 - Adventskalender Dreamworks Trolls, sortiert, bunt","4.76","2.2","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","elektrische zahnbürste","99.94","B00KBWBPRY","Oral-B PRO 600 Elektrische Zahnbürste (wiederaufladbare Zahnbürste, Aufsteckbürste CrossAction, gesunde Zähne, schützt vor Karies, Mundgeruch und Zahnfleischentzündung, powered by Braun)","17.87","6.44","B013EGEFQQ","Oral-B PRO 690 Elektrische Zahnbürste (wiederaufladbare Zahnbürste mit 2. Handstück, gesunde Zähne, schützt vor Karies, Mundgeruch und Zahnfleischentzündung, powered by Braun)","7.81","9.6","B0140IEGIE","Oral-B PRO 750 Black Elektrische Zahnbürste (wiederaufladbare Zahnbürste in Schwarz, CrossAction Aufsteckbürste, mit Reiseetui, gesunde Zähne, schützt vor Karies und Mundgeruch, powered by Braun)","6.78","4.7","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lightning kabel","99.94","B010NV8EIU","mumbi Lightning zu USB Kabel [Apple MFi zertifiziert] 1m für iPhone 7 Plus 7 6 Plus 6s SE 5S 5C 5, iPad Air 2, Mini 3, iPod touch und nano in weiss","81.3","46.64","B010S9M3L6","AmazonBasics Ladekabel Lightning auf USB, 0,9m, zertifiziert von Apple, Weiß","7.02","5.72","B010S9N6OO","AmazonBasics Ladekabel Lightning auf USB, 1,8m, zertifiziert von Apple, Weiß","4.38","6.22","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","mr robot","99.94","B017TE2JU8","","48.56","0","B01L0E20HU","","48.43","0","B01AB7BH4Y","Mr. Robot - Staffel 1 [3 DVDs]","1.84","28.09","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","rauchmelder","99.94","B007IGQ5SK","Ei Electronics Ei650 10-Jahres-Rauchwarnmelder, weiß, 1 Stück","22.05","2.31","B00ZP7L0WA","Smartwares TÜV Rauchmelder / Brandmelder, DIN EN 14604, reinweiß, RM149/4_1J","21.42","5.26","B00HEF4JV0","Busch-Jäger Rauchmelder 6800-0-2716","9.63","6.7","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","xbox one","99.94","B016ZLYVKM","Xbox One 500 GB Konsole 2015","22.38","66.26","B01KAGPBB6","Xbox One S 500GB Konsole - FIFA 17 Bundle","20.33","0.37","B01KZYZMGC","Xbox One S 1 TB Konsole - Battlefield 1 Special Edition Bundle","6.75","0.83","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","feuerwehrmann sam","99.93","B017WSV2DG","Simba 109257661 - Feuerwehrmann Sam Jupiter Feuerwehrauto mit 2 Figuren 28cm","9.71","2.23","B01BZ1V94I","Simba 109258282 - Feuerwehrmann Sam Neue Feuerwehrstation zum Aufklappen mit Figur","8.52","3.42","B00JMVF0TE","Simba 109250745 - Feuerwehrmann Sam Einsatzset in blau","4.96","2.97","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","küchenmaschine","99.93","B0041G5R3Y","Bosch MUM56340 Küchenmaschine Styline MUM5 (900 Watt, Edelstahl-Rührschüssel, Durchlaufschnitzler, Rühr-Schlagbesen und weiteres Zubehör) silber","19.58","0.18","B004MPQQ02","Bosch MUM4880 Küchenmaschine MUM4 (600 Watt, Edelstahl-Rührschüssel, Durchlaufschnitzler, Mixeraufsatz Kunststoff, Fleischwolf, Zitruspresse, Rezept DVD) weiß","7.07","3.19","B000VSXPNU","Bosch MUM4427 Küchenmaschine MUM4 (500 Watt, 3,9 Liter) weiß","6.79","7.22","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","tastatur","99.93","B00E6KGKXG","LOGITECH K280e corded Keyboard USB black for Business, QWERTZ,  deutsches Layout","20.01","15.45","B00F35N0VI","CHERRY KC1000 corded Keyboard USB ultraflat black","13.52","15.62","B00N3OCV7U","Sharkoon Skiller Pro beleuchtete Gaming Tastatur (9 Multimedia-, 6 Makro- und 3 Profil-Tasten, Software, USB) schwarz","10.82","4.27","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","weihnachtskalender","99.93","3742300954","Was ich an dir liebe – Adventskalender: Zum Ausfüllen und Verschenken","4.29","0.81","3869136901","Adventskalender Apfel, Zimt und Todeshauch 2016","3.62","0.97","B00O45NSGU","","2.66","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fire tv","99.92","B00UH2K93O","Amazon Fire TV mit 4K Ultra HD","44.13","29.55","B00KAKPZYG","Fire TV Stick","34.08","0.39","B00UH4UTGO","Amazon Fire TV, Zertifiziert und generalüberholt, mit 4K Ultra HD","8.38","23.23","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fitbit","99.92","B01LPVEI6Y","","37.51","0","B00SV21RVU","Fitbit Aktivitätstracker Charge HR","10.79","0","B01DK5DA8K","Fitbit Unisex Fitness Armband Alta","10.72","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","game of thrones staffel 6","99.92","B01JVQJKMC","Game of Thrones - Staffel 6 [5 DVDs]","78.86","30.34","B01JVQJK18","Game of Thrones - Staffel 6 [Blu-ray]","14.64","3.57","B01JVQJK0Y","Game of Thrones - Staffel 6 - Steelbook [Blu-ray]","1.61","2.44","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kopfhörer","99.92","B0007XJSQC","Sennheiser HD 201 Kopfhörer (Kraftvoller Stereosound) schwarz","18.52","7.61","B00I3LUWQA","Sony MDRZX310 Lifestyle Kopfhörer schwarz","13.19","5.41","B00CBU0IV8","Panasonic RP-HJE125E-K In-Ear-Kopfhörer schwarz","5.02","2.42","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lego","99.92","B013GYB3O8","LEGO Classic 10702 - Kreatives Bauset","11.23","6.63","B00NGJCKS2","LEGO Technic 42031 - Hubarbeitsbühne","4.8","3.79","B00NVDP3ZU","LEGO Classic 10696 - LEGO Mittelgroße Bausteine-Box","3.94","0.73","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","lumia 950 hülle","99.92","B00PQVKIDW","mumbi Schutzhülle Microsoft Lumia 950 Hülle","29.51","21.64","B00PQVJJT6","mumbi Schutzhülle Microsoft Lumia 950 Hülle transparent weiss","28.74","13.11","B00PQXHBZS","mumbi Ledertasche im Bookstyle für Mircosoft Lumia 950 Tasche","14.23","10.2","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","raclette","99.92","B000JUF98Y","Severin RG 2341 Raclette-Partygrill mit Naturgrillstein (1500 Watt, 8 Pfännchen), schwarz","21.22","5.44","B007HMT43I","Severin RG 2343 Raclette - Partygrill mit Naturgrillstein, schwarz","11.77","4.85","B001FRZLGA","ROMMELSBACHER RCC 1500 Fashion - RACLETTE - 1500 Watt - chrom","6.36","3.23","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","adventskalender zum befüllen","99.91","B0154CWJ9I","","12.59","14.99","B019BWT5FS","24 Nostalgische Adventshäuschen: Zum Falten und Befüllen","6.17","5.95","B014PNXG62","Pajoma 50212, Weihnachtsset ""Christmas"", 2 Größen, 24 Geschenktüten, inkl. Zahlen-Sticker","5.75","4.05","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","heizlüfter","99.91","B004540AWU","Clatronic Heizlüfter HL 3378","19.76","4.92","B0043RD490","Clatronic HL 3379 Heizlüfter","7.25","4.67","B00MFEHQJ2","Rowenta Heizlüfter Instant Comfort Aqua, SO6510","6.94","2.75","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","kalender 2017","99.91","3862294102","VintageArt 2017: Terminplaner","9.85","2.41","3848515423","Mir reichts, ich geh schaukeln 2017: Terminplaner mit Wochenkalendarium","9.12","1.79","3840770017","Buchkalender Balacron schwarz 2017 - Bürokalender A5 / Cheftimer A5 - 1 Tag 1 Seite - 320 Seiten","7.32","3.64","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","microsoft lumia 950 hülle","99.91","B00PQVRV5K","mumbi Microsoft Lumia 950 Tasche Etui schwarz (Lasche mit Rückzugfunktion Ausziehhilfe)","31.92","10.24","B00PQWYOE0","mumbi Flip Case Microsoft Lumia 950 Tasche","26.84","7.32","B00PQVKIDW","mumbi Schutzhülle Microsoft Lumia 950 Hülle","15.44","4.88","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nintendo","99.91","B01IFJEWTM","Nintendo Classic Mini: Nintendo Entertainment System","53.12","0","B01EX3JIY8","Nintendo Switch","7.24","0","B00NGCILS2","Nintendo 2DS - Konsole (schwarz) inkl. New Super Mario Bros. 2 (vorinstalliert)","5.73","0.58","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","blackroll","99.9","B004E2TDHQ","Blackroll Orange (Das Original) - Faszienrolle inkl. Übungs-DVD, Übungsposter & Booklet. Die Massagerolle für die Faszien, auch Foam Roller, Gymnastikrolle, Fitnessrolle genannt, zur Selbstmassage und Behandlung des Bindegewebes. Qualität Made in Germany","31.73","1.78","B01IRAKI42","","9.46","0","B003BP5AGA","Blackroll  Standard (Härtegrad mittel), schwarz, Selbstmassagerolle + interaktives Booklet","8.86","2.28","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","game of thrones","99.9","B00BPU7FFW","Game of Thrones - Die komplette erste Staffel [5 DVDs]","23.56","5.22","B01JVQJKMC","Game of Thrones - Staffel 6 [5 DVDs]","21.4","3.41","B00UV0DI8U","Game of Thrones - Die komplette dritte Staffel [5 DVDs]","5.47","1.45","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","hue","99.9","B016151IRQ","Philips Hue LED Lampe E27 Starter Set inklusive Bridge, 2. Generation, 3-er Set, dimmbar, 16 Mio Farben, app-gesteuert","11.49","0.42","B015LZ0PC6","Philips Hue LightStrip+ 16 Mio Farben (Basis Set ohne Bridge), EEK A, 2m, flexibel erweiterbar, ultrahell max 1600 Lumen","9.8","0.42","B01LZ8QYPI","Philips Hue LED Lampe E27 Starter Set inklusive Bridge, 3. Generation, 3-er Set, dimmbar, 16 Mio Farben, app-gesteuert","6.82","9.98","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","iphone 7 schutzhülle","99.9","B01J1L5N3M","mumbi UltraSlim Hülle für iPhone 7 Schutzhülle transparent (Ultra Slim - 0.55 mm)","34.77","4.25","B01J1L5P6C","mumbi Schutzhülle für iPhone 7 Hülle","34.59","1.98","B01J1L5IHS","mumbi double GRIP Hülle für iPhone 7 Schutzhülle schwarz","27.74","5.37","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","oral b elektrische zahnbürsten","99.9","B00KBWBPRY","Oral-B PRO 600 Elektrische Zahnbürste (wiederaufladbare Zahnbürste, Aufsteckbürste CrossAction, gesunde Zähne, schützt vor Karies, Mundgeruch und Zahnfleischentzündung, powered by Braun)","16.85","6.25","B00LVUY84W","Oral-B SmartSeries 6500 Elektrische Zahnbürste (wiederaufladbare Zahnbürste mit 2. Handstück, mit Bluetooth, Timer, Aufsteckbürsten CrossAction, Sensitiv, 3DWhite, Tiefenreinigung, powered by Braun)","11.04","0.75","B013EGEFQQ","Oral-B PRO 690 Elektrische Zahnbürste (wiederaufladbare Zahnbürste mit 2. Handstück, gesunde Zähne, schützt vor Karies, Mundgeruch und Zahnfleischentzündung, powered by Braun)","8.8","9.71","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","plattenspieler","99.9","B00402JUBE","Dual DT 210 USB Schallplattenspieler (USB-Anschluss, 33/45 U/min) schwarz","15.8","12.06","B0076Z72RQ","Dual DTJ 301.1 USB DJ-Plattenspieler (33/45 U/min, Pitch-Control, Magnet-Tonabnehmer-System, Nadelbeleuchtung, USB Kabel) schwarz","12.63","4.96","B002S9HR02","Auna TBA-298 Vinyl Plattenspieler Schallplattenspieler mit integr. Lautsprecher (laufruhiger Riemenantrieb, 2 Geschwindigkeiten, inkl. Nadel) silber-schwarz","5.41","8.84","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","fire tablet","99.89","B00ZDWLEEG","Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 8 GB (Schwarz) - mit Spezialangeboten","42.81","5.59","B01AHBC23E","Das neue Fire HD 8-Tablet, 20,3 cm (8 Zoll) HD Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","17.83","11.9","B018Y22I00","Fire-Tablet, 17,7 cm (7 Zoll) Display, WLAN, 16 GB (Schwarz) - mit Spezialangeboten","8.58","3.33","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","gopro","99.89","B01LYTQY22","GoPro HERO5 Black Action Kamera (12 Megapixel) schwarz/grau","38.5","19.61","B01BSPLMPW","GoPro HERO Session Actionkamera (8 Megapixel, 38 mm, 38 mm, 36,4 mm)","22.56","19.37","B00O32GPKK","GoPro HERO4 Silver Adventure Actionkamera (12 Megapixel, 41,0 mm x 59,0 mm x 29,6 mm)","15.22","8.21","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","nähmaschine","99.89","B0042WOX50","W6 Nähmaschine N 1615 Freiarm Super Nutzstich-Nähmaschine - 10 Jahre Garantie","28.17","2.42","B001CBZB5K","Singer 2250 Tradition Nähmaschine","19.56","18.77","B005DYM42A","W6 Nähmaschine N 1235/61 Freiarm Super Nutzstich-Nähmaschine mit 10 Jahren Garantie","9.63","1.77","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","sex","99.89","B01G3MIJ7O","","51.97","0","B01G3PVD56","","39.07","0","2351809726","Sex Medecine","2.48","0","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","taschenkalender 2017","99.89","3848515423","Mir reichts, ich geh schaukeln 2017: Terminplaner mit Wochenkalendarium","6.41","0.76","3862294048","Timer Schwarz 2017: Terminplaner in Lederoptik","4.88","1.43","3862294102","VintageArt 2017: Terminplaner","4.18","0.55","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","trolls","99.89","B01CZMWKCG","Craze 53998 - Adventskalender Dreamworks Trolls, sortiert, bunt","7.77","0.83","B01GZW592U","Hasbro B7346EL2 Trollstadt - Sammeltroll Poppy Figur","7.27","3.66","3505139459","Trolls - Das große Buch zum Film","6.39","2.34","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","xbox one controller","99.89","B00ZFWRGXC","Xbox One Wireless Controller","19.29","13.28","B01GVN10VM","Xbox Wireless Controller Weiß","12.97","0.68","B01691M0QA","Xbox One Controller + Wireless Adapter for Windows","8.63","9.91","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","barbie","99.88","B01ARGBYP6","Mattel Barbie DLT25 - Sternenglitzer-Kleid Barbie","8.15","4","B015CCR1FW","Mattel Barbie DHC40 - Modepuppen, Regenbogenlicht Meerjungfrau","7.81","0.97","B014DEHUU6","Mattel Barbie DHC39 - Modepuppen, 3-in-1 Fantasie Barbie","4.84","3.5","","","","","","","","","","","","","","","","","","","","","",""
"Amazon.de","familienplaner 2017","99.88","3866793227","FamilienPlaner 2017 Wand-Kalender, Chäff-Timer, 5 Spalten, 22,5 x 42cm, 12 Monate Jan - Dez 2017","7.39","3.82","3731817403","Familienplaner Farbenspiel 2017: Familientimer mit Ferienterminen und Vorschau bis März 2018","5.75","4.33","3731817314","XL Familienplaner 2017: Familientimer mit Ferienterminen und Vorschau bis März 2018","5.24","4.1","","","","","","","","","","","","","","","","","","","","","",""
